a,word,level
0,abandon,A1
1,ability,A1
2,able,A1
3,abolish,A3
4,abortion,A3
5,about,A1
7,above,A1
9,abroad,A1
10,absence,A3
11,absent,A3
12,absolute,A1
13,absolutely,A2
14,absorb,A1
15,abstract,A1
16,absurd,A3
17,abundance,A3
18,abuse,A3
20,academic,A2
22,academy,A3
23,accelerate,A3
24,accent,A1
25,accept,A1
26,acceptable,A1
27,acceptance,A3
28,access,A2
30,accessible,A3
31,accident,A1
32,accidentally,A1
33,accommodate,A1
34,accommodation,A2
35,accompany,A1
36,accomplish,A1
37,accomplishment,A3
38,accordance,A3
39,according to,A1
40,accordingly,A3
41,account,A2
43,accountability,A3
44,accountable,A3
45,accountant,A1
46,accounting,A1
47,accumulate,A3
48,accumulation,A3
49,accuracy,A1
50,accurate,A1
51,accurately,A1
52,accusation,A3
53,accuse,A1
54,accused,A3
55,achieve,A1
56,achievement,A2
57,acid,A3
59,acknowledge,A1
60,acquire,A1
61,acquisition,A3
62,acre,A3
63,across,A1
65,act,A2
67,action,A1
68,activate,A1
69,activation,A3
70,active,A1
71,activist,A3
72,activity,A1
73,actor,A1
74,actress,A1
75,actual,A1
76,actually,A1
77,acute,A3
78,ad,A2
79,adapt,A1
80,adaptation,A3
81,add,A1
82,addiction,A1
83,addition,A2
84,additional,A1
85,additionally,A1
86,address,A1
88,adequate,A1
89,adequately,A1
90,adhere,A3
91,adjacent,A3
92,adjust,A1
93,adjustment,A3
94,administer,A3
95,administration,A1
96,administrative,A3
97,administrator,A3
98,admire,A2
99,admission,A3
100,admit,A2
101,adolescent,A3
102,adopt,A1
103,adoption,A3
104,adult,A1
106,advance,A1
109,advanced,A2
110,advantage,A1
111,adventure,A1
112,adverse,A3
113,advertise,A1
114,advertisement,A1
115,advertising,A1
116,advice,A1
117,advise,A2
118,advocate,A3
120,aesthetic,A3
121,affair,A1
122,affect,A1
123,affection,A3
124,afford,A2
125,affordable,A1
126,afraid,A1
127,after,A1
130,aftermath,A3
131,afternoon,A1
132,afterwards,A1
133,again,A1
134,against,A1
135,age,A1
137,aged,A2
138,agency,A1
139,agenda,A1
140,agent,A2
141,aggression,A3
142,aggressive,A1
143,ago,A1
144,agree,A1
145,agreement,A2
146,agricultural,A3
147,agriculture,A1
148,ah,A1
149,ahead,A2
150,aid,A1
152,aide,A3
153,aids,A1
154,aim,A2
156,air,A1
157,aircraft,A1
158,airline,A1
159,airport,A1
160,alarm,A2
162,albeit,A3
163,album,A2
164,alcohol,A2
165,alcoholic,A2
166,alert,A3
169,alien,A3
171,align,A3
172,alignment,A3
173,alike,A3
175,alive,A1
176,all,A1
179,all right,A1
182,allegation,A3
183,allege,A3
184,allegedly,A3
185,alliance,A3
186,allocate,A3
187,allocation,A3
188,allow,A1
189,allowance,A3
190,ally,A3
191,almost,A1
192,alone,A1
194,along,A1
196,alongside,A1
197,already,A1
198,also,A1
199,alter,A1
200,alternative,A2
202,although,A1
203,altogether,A1
204,aluminium,A3
205,always,A1
206,amateur,A3
208,amazed,A2
209,amazing,A1
210,ambassador,A3
211,ambition,A2
212,ambitious,A2
213,ambulance,A1
214,amend,A3
215,amendment,A3
216,amid,A3
217,among,A1
218,amount,A1
220,amusing,A1
221,analogy,A3
222,analyse,A2
223,analysis,A2
224,analyst,A1
225,ancestor,A1
226,anchor,A3
227,ancient,A1
228,and,A1
229,angel,A3
230,anger,A1
231,angle,A1
232,angrily,A1
233,angry,A1
234,animal,A1
235,animation,A1
236,ankle,A1
237,anniversary,A1
238,announce,A2
239,announcement,A2
240,annoy,A2
241,annoyed,A2
242,annoying,A2
243,annual,A1
244,annually,A1
245,anonymous,A3
246,another,A1
248,answer,A1
250,anticipate,A1
251,anxiety,A1
252,anxious,A1
253,any,A1
256,any more,A1
257,anybody,A1
258,anyone,A1
259,anything,A1
260,anyway,A1
261,anywhere,A1
263,apart,A2
264,apartment,A1
265,apologize,A2
266,apology,A1
267,app,A1
268,apparatus,A3
269,apparent,A1
270,apparently,A1
271,appeal,A1
273,appealing,A3
274,appear,A1
275,appearance,A1
276,appetite,A3
277,applaud,A3
278,apple,A1
279,applicable,A3
280,applicant,A1
281,application,A2
282,apply,A1
283,appoint,A3
284,appointment,A2
285,appreciate,A2
286,appreciation,A3
287,approach,A1
289,appropriate,A1
290,appropriately,A1
291,approval,A1
292,approve,A1
293,approximately,A2
294,april,A1
295,arbitrary,A3
296,architect,A1
297,architectural,A3
298,architecture,A1
299,archive,A3
300,area,A1
301,arena,A3
302,arguably,A3
303,argue,A1
304,argument,A1
305,arise,A1
306,arm,A1
308,armed,A1
309,arms,A1
310,army,A1
311,around,A1
313,arrange,A1
314,arrangement,A1
315,array,A3
316,arrest,A2
318,arrival,A2
319,arrive,A1
320,arrow,A1
321,art,A1
322,articulate,A3
323,artificial,A1
324,artist,A1
325,artistic,A1
326,artwork,A1
327,as,A1
330,ash,A3
331,ashamed,A1
332,aside,A1
333,ask,A1
334,asleep,A1
335,aspect,A1
336,aspiration,A3
337,aspire,A3
338,assassination,A3
339,assault,A3
341,assemble,A3
342,assembly,A3
343,assert,A3
344,assertion,A3
345,assess,A1
346,assessment,A1
347,asset,A1
348,assign,A1
349,assignment,A2
350,assist,A2
351,assistance,A1
352,assistant,A1
354,associate,A1
355,associated,A1
356,association,A1
357,assume,A1
358,assumption,A1
359,assurance,A3
360,assure,A1
361,astonishing,A1
362,asylum,A3
363,at,A1
364,athlete,A1
365,atmosphere,A2
